States_UTs,LessThan5Years_TotalAccidents,LessThan5Years_PersonsKilled,LessThan5Years_PersonsGrievouslyInjured,LessThan5Years_PersonsMinorInjured,5to10Years_TotalAccidents,5to10Years_PersonsKilled,5to10Years_PersonsGrievouslyInjured,5to10Years_PersonsMinorInjured,10to15Years_TotalAccidents,10to15Years_PersonsKilled,10to15Years_PersonsGrievouslyInjured,10to15Years_PersonsMinorInjured,15YearsAndAbove_TotalAccidents,15YearsAndAbove_PersonsKilled,15YearsAndAbove_PersonsGrievouslyInjured,15YearsAndAbove_PersonsMinorInjured,AgeNotKnown_TotalAccidents,AgeNotKnown_PersonsKilled,AgeNotKnown_PersonsGrievouslyInjured,AgeNotKnown_PersonsMinorInjured,Total_Total Accidents,Total_PersonsKilled,Total_PersonsGrievouslyInjured,Total_PersonsMinorInjured
Andhra Pradesh,9287,2725,2787,7336,9341,2859,2498,7052,2942,838,782,2766,2191,817,508,1899,1966,821,603,1244,25727,8060,7178,20297
Arunachal Pradesh,37,17,41,24,43,18,31,22,46,22,47,31,52,24,28,21,63,29,45,26,241,110,192,124
Assam,2723,940,1882,308,1898,727,1423,303,808,326,559,169,476,194,338,196,1265,596,809,176,7170,2783,5011,1152
Bihar,2814,1660,1366,631,2135,1416,1099,446,1308,824,573,288,1546,965,679,269,1052,689,492,171,8855,5554,4209,1805
Chhattisgarh,5229,1482,734,3731,3978,1230,645,2933,1980,515,219,1341,791,285,125,636,1585,624,434,1752,13563,4136,2157,10393
Goa,1858,135,198,773,1551,126,156,591,391,46,37,128,99,13,9,25,18,8,2,3,3917,328,402,1520
Gujarat,5353,1971,2051,2363,5403,1984,2607,2340,2441,952,1098,1087,3023,1036,1362,1483,2861,1346,1332,1079,19081,7289,8450,8352
Haryana,1642,744,500,1029,1382,609,364,967,617,237,126,556,824,380,136,569,6793,3150,1302,4790,11258,5120,2428,7911
Himachal Pradesh,680,299,299,940,334,106,163,522,99,29,40,139,58,22,19,76,1943,747,903,2351,3114,1203,1424,4028
Jammu & Kashmir,1661,268,1115,1146,1921,311,934,1499,491,78,373,430,46,7,2,80,1505,262,1381,459,5624,926,3805,3614
Jharkhand,1449,844,745,145,1114,732,612,96,687,514,382,98,476,272,362,98,1472,894,1096,284,5198,3256,3197,721
Karnataka,17762,4238,9113,12940,13055,3343,7006,9367,6363,1517,3636,4622,3025,764,1655,2240,2337,747,1081,1301,42542,10609,22491,30470
Kerala,18774,2001,14305,6277,11968,1225,9047,3861,3923,506,3101,1319,3472,356,2963,1178,333,43,317,303,38470,4131,29733,12938
Madhya Pradesh,19353,3691,2611,19082,15359,3216,1487,14846,7024,1353,1092,6345,6815,969,899,5975,4848,948,626,4569,53399,10177,6715,50817
Maharashtra,11415,4232,6853,3649,13491,4445,7423,4304,6746,2109,3661,2341,2369,810,1494,819,1832,668,1034,550,35853,12264,20465,11663
Manipur,201,45,113,258,139,30,27,237,131,20,25,196,48,15,28,52,59,26,68,23,578,136,261,766
Meghalaya,47,12,26,5,238,66,92,32,291,86,96,41,24,6,8,4,75,12,31,19,675,182,253,101
Mizoram,23,22,5,16,37,30,19,5,8,8,3,7,0,0,0,0,0,0,0,0,68,60,27,28
Nagaland,74,10,22,35,84,15,26,58,35,2,15,21,184,7,4,54,154,7,55,85,531,41,122,253
Orissa,4349,1842,2408,2002,3190,1416,1647,1522,1513,615,908,910,1032,524,548,539,771,393,400,314,10855,4790,5911,5287
Punjab,1739,1280,960,252,1590,1122,761,264,999,650,486,207,868,526,508,137,1077,885,494,149,6273,4463,3209,1009
Rajasthan,9138,4050,2787,6296,7157,3505,2057,5135,3392,1708,1042,2424,1259,610,384,1008,1166,571,213,725,22112,10444,6483,15588
Sikkim,68,24,69,67,74,35,64,100,33,10,28,71,14,7,44,29,7,2,4,3,196,78,209,270
Tamil Nadu,31610,6822,3328,32225,18023,4530,1716,18666,8251,2498,891,8883,4657,1100,406,5837,3021,1207,246,2373,65562,16157,6587,67984
Telangana,9895,2686,804,9646,6763,2173,597,6732,2731,781,178,2640,1115,263,30,1142,1980,693,114,2107,22484,6596,1723,22267
Tripura,247,82,325,5,175,53,266,2,47,14,80,1,18,5,25,0,16,7,14,0,503,161,710,8
Uttarakhand,293,209,263,40,325,225,282,51,281,133,208,36,314,160,181,31,390,215,446,93,1603,942,1380,251
Uttar Pradesh,10662,5578,5364,2352,9429,5099,4817,1995,6760,3501,3272,1565,6373,3275,2845,1274,5559,2671,2851,1159,38783,20124,19149,8345
West Bengal,1217,660,790,203,1678,851,1309,326,313,164,263,67,681,392,599,204,7742,3702,5225,1105,11631,5769,8186,1905
Delhi,1229,253,177,1117,1029,261,138,896,454,91,89,376,742,215,96,618,3219,764,580,2517,6673,1584,1080,5524
Puducherry,669,80,296,377,390,60,124,273,271,32,93,203,322,56,80,253,41,5,19,23,1693,233,612,1129
Total,171498,48902,62337,115270,133294,41818,49437,85443,61376,20179,23403,39308,42914,14075,16365,26746,55150,22732,22217,29753,464232,147706,173759,296520
